#{"t_start": 1757804866.1245933, "env_id": "None"}
r,l,t
-30105.201477,24,417.936597
-5265.280315,24,418.324229
-32098.125473,24,418.791246
-3774.543404,24,419.201998
-7329.110404,24,419.588569
-5024.016278,24,419.990968
-76141.635986,24,420.379059
-51591.656067,24,420.769179
-52429.735596,24,421.172838
-10835.144836,24,421.584406
-12447.467028,24,421.975398
-11059.640533,24,422.360023
-260.4367,24,422.75036
-8921.544884,24,423.171404
-8984.129135,24,423.578976
-725.975988,24,424.003393
-3810.311884,24,424.399032
-6464.949785,24,424.800999
-1444.086051,24,425.208198
-7947.042809,24,425.617824
-6834.792044,24,426.02494
-5035.077594,24,426.417026
-4320.665803,24,426.846355
-2847.583228,24,427.251109
-2320.276925,24,427.673579
-3439.080386,24,428.084982
-12617.782738,24,428.486776
-622.535836,24,428.901857
-2109.460529,24,429.324683
-603.452852,24,429.727348
-1678.434242,24,430.144123
-696.026712,24,430.529157
-9783.834907,24,430.945207
-1159.110847,24,431.329823
-13006.83149,24,431.743614
-453.616142,24,432.139604
-2970.9776,24,432.569082
-14518.533207,24,432.987959
-15015.360138,24,433.450587
-10603.818024,24,433.863436
-612.456787,24,434.312743
-6196.003636,24,434.708921
-4110.411437,24,435.113006
-520.240656,24,435.511416
-861.967942,24,435.925079
-7330.559425,24,436.344514
-2430.265095,24,436.795614
-7320.708084,24,437.183467
-10081.722784,24,437.579496
-5260.566833,24,437.996523
-2607.218849,24,438.42472
-2634.622353,24,438.897593
-1137.580111,24,439.288149
-5271.204683,24,439.685395
-7474.684499,24,440.083455
-3119.631595,24,440.473804
-607.412654,24,440.864598
-583.474434,24,441.248589
-1723.62371,24,441.659217
-2592.668687,24,442.064327
-6261.932419,24,442.459423
-7079.095409,24,442.847582
-685.891039,24,443.258104
-5831.040609,24,443.646799
-731.312559,24,444.042506
-24666.123487,24,444.441855
-9328.477799,24,444.848048
-5805.098,24,445.294835
-739.852194,24,445.696555
-164971.087769,24,446.123866
-13815.626775,24,446.553146
-26238.063635,24,446.966605
-18102.832581,24,447.392263
-710.887989,24,447.851786
-6301.515746,24,448.296392
-8914.668671,24,448.818248
-26982.933838,24,449.280787
-8883.252312,24,449.751538
-30738.601074,24,450.262213
-10598.846021,24,450.662293
-13698.111893,24,451.046771
-22281.270203,24,451.494332
-748.733465,24,451.98832
-743.113384,24,452.391009
-4088.663121,24,452.774096
-2692.323137,24,453.18453
-6080.522619,24,453.567422
-811.094648,24,453.966932
-1364.876665,24,454.389547
-522.98811,24,454.776141
-2098.137068,24,455.195865
-716.548623,24,455.591344
-3235.301866,24,455.974414
-554.25001,24,456.407786
-18742.095292,24,456.829733
-11361.872994,24,457.242709
-688.373564,24,457.656018
-13052.729111,24,458.037585
-4730.074436,24,458.492486
-2167.748904,24,458.930182
-717.684362,24,459.394315
-7097.674662,24,459.782331
-461.125628,24,460.175323
-1866.90183,24,460.553725
-449.603195,24,460.967546
-2950.564116,24,461.355593
-761.865364,24,461.740012
-6773.720499,24,462.133812
-544.647075,24,462.531008
-725.265083,24,462.969572
-9694.036843,24,463.386411
-11920.518674,24,463.803367
-565.435464,24,464.194225
-12113.713234,24,464.5908
-701.744594,24,465.020553
-27850.773376,24,465.428833
-691.026169,24,465.834432
-2298.339115,24,466.242491
-1500.397468,24,466.650584
-2854.383078,24,467.036091
-525.078659,24,467.417672
-720.759819,24,467.824845
-1201.607492,24,468.239563
-341.26972,24,468.682756
-4137.288636,24,469.122837
-23457.291519,24,469.524583
-387.745144,24,469.946751
-9264.701531,24,470.35927
-14594.37912,24,470.776495
-4983.449741,24,471.174702
-4338.670331,24,471.588037
-3580.062577,24,471.993731
-633.347162,24,472.367253
-96.146046,24,472.763437
-41320.215454,24,473.175812
-29244.330292,24,473.561136
-10656.150978,24,473.948513
-659.644761,24,474.353215
-206.64532,24,474.809752
-4967.783264,24,475.236953
-635.882025,24,475.639597
-16935.824112,24,476.043528
-5157.080831,24,476.496545
-521.901002,24,476.868981
-5241.198302,24,478.053935
-23468.758797,24,478.462227
-45029.592529,24,478.880337
-7020.256769,24,479.287468
-581.315929,24,479.697155
-441.597057,24,480.098095
-601.257641,24,480.521164
-1011.978623,24,480.919544
-14185.813072,24,481.373448
-636.103334,24,481.789096
-585.407886,24,482.188521
-5913.251297,24,482.575616
-689.818254,24,483.004442
-3949.611253,24,483.398839
-1257.835536,24,483.823477
-18675.044403,24,484.232427
-4403.574483,24,484.628911
-3525.722858,24,485.081599
-17013.11969,24,485.502946
-698.569836,24,485.887072
-545.904026,24,486.268613
-573.222845,24,486.669186
-5888.664733,24,487.119221
-12930.861115,24,487.508631
-11454.283035,24,487.903535
-724.398354,24,488.301891
-12828.368912,24,488.687647
-3185.57916,24,489.075617
-707.104128,24,489.462334
-3337.126185,24,489.863013
-3207.878195,24,490.292187
-30725.781738,24,490.716811
-134.110692,24,491.156923
-7102.146785,24,491.599
-8017.044795,24,491.999099
-688.297919,24,492.393991
-698.031214,24,492.793736
-33291.067902,24,493.182943
-5644.992827,24,493.58192
-729.942757,24,493.998013
-3314.738189,24,494.417132
-6973.498656,24,494.808779
-9634.71167,24,495.26851
-4433.835917,24,495.690128
-3841.145072,24,496.059803
-4020.310914,24,496.481273
-764.854836,24,496.882335
-8440.53298,24,497.278199
-17630.460994,24,497.686837
-12751.058125,24,498.063933
-410.634156,24,498.448529
-449.801868,24,498.856299
-9745.153118,24,499.259764
-16969.715755,24,499.683065
-8807.77182,24,500.080011
-701.446358,24,500.471595
-22545.309247,24,500.883122
-19017.649506,24,501.271232
-3614.231392,24,501.683246
-6639.968708,24,502.124847
-17284.314178,24,502.540619
-57720.464966,24,502.944815
-50568.473083,24,503.346437
-507.735344,24,503.729707
-8929.32193,24,504.123659
-2753.670516,24,504.546021
-5920.686321,24,504.937743
-47940.909119,24,505.339457
-6018.242223,24,505.754352
-2070.594347,24,506.140425
-13911.009567,24,506.542704
-11533.112476,24,506.949357
-10031.543673,24,507.329044
-2495.98923,24,507.712419
-1614.099836,24,508.146888
-11154.573929,24,508.581477
-3585.944789,24,508.979829
-719.305185,24,509.39608
-3114.982161,24,509.823521
-15705.938889,24,510.206789
-22524.172272,24,510.601002
-523.659777,24,511.008608
-10330.654638,24,511.431352
-25562.371277,24,511.826842
-19370.547741,24,512.211225
-21798.58337,24,512.61869
-14631.233484,24,513.032672
-17445.687836,24,513.438602
-1498.465391,24,513.828384
-183252.898085,24,514.228772
-331.286975,24,514.673591
-8368.094625,24,515.07524
-6111.549084,24,515.484342
-18154.589264,24,515.899717
-15553.396631,24,516.325987
-552.129208,24,516.736592
-10480.719969,24,517.164644
-3753.660322,24,517.56334
-14817.765167,24,517.992649
-14801.509705,24,518.401172
-34617.115753,24,518.816323
-7328.150941,24,519.199865
-3991.849961,24,519.620812
-714.969128,24,519.998802
-656.50304,24,520.449374
-9451.561867,24,520.849558
523.640597,24,521.244423
-5738.308876,24,521.659647
-1102.256593,24,522.054118
-6392.220736,24,522.465936
-1912.332869,24,522.8926
-1101.942655,24,523.304419
-1914.614824,24,523.761324
-8372.028946,24,524.185356
-1665.687161,24,524.607641
-342.327348,24,525.015563
-12511.397987,24,525.395778
-33655.972961,24,525.794948
-646.542029,24,526.19958
-640.32374,24,526.581075
-984.067649,24,526.977558
-553.507055,24,527.354341
-722.460176,24,527.79266
-6720.957995,24,528.190096
-5564.810525,24,528.578028
-37444.100098,24,528.963374
-8258.677027,24,529.3792
-19015.110355,24,529.791421
-2886.530054,24,530.193683
-24066.654816,24,530.569942
-10208.500847,24,530.981942
-10132.00148,24,531.353089
-6283.55438,24,531.74917
-17210.45029,24,532.167513
-11963.009338,24,532.58242
-9971.310608,24,533.00066
-6804.935862,24,533.435311
-30729.69659,24,533.896258
-12352.356049,24,534.293063
-16392.156586,24,534.702606
-6528.258878,24,535.089408
-14322.571381,24,535.503071
-21617.489042,24,535.938898
-14212.587351,24,536.370682
-39620.791552,24,536.762147
-5245.901207,24,537.173372
-19543.847565,24,537.619126
-11024.53237,24,538.013818
-11070.293379,24,538.402017
-5624.25117,24,538.806991
-30641.147974,24,539.20621
-9290.502167,24,539.625005
-15570.20636,24,540.049267
-5975.936939,24,540.447292
-649.867858,24,540.875626
-18254.546951,24,541.272971
-18969.508083,24,541.700673
-7372.669448,24,542.111912
-29555.520956,24,542.546916
-6280.124146,24,542.949074
-2198.595863,24,543.351454
-8851.254278,24,543.754763
-1954.123705,24,544.23273
-334.382498,24,544.607461
-360.025682,24,545.03092
-23697.212814,24,545.437296
-15777.883422,24,545.870615
-8752.656652,24,546.284241
-3398.497019,24,546.679513
-18988.546722,24,547.086921
-5725.208649,24,547.502126
-27883.306046,24,547.91049
-711.324387,24,548.293019
-636.043062,24,548.682362
-11022.089018,24,549.070925
-5957.664925,24,549.448616
-20096.531372,24,549.840021
-8648.555369,24,550.250197
-552.804726,24,550.654862
-4846.974415,24,551.067252
-9369.885956,24,551.46598
-14510.974417,24,551.830724
-10479.407309,24,552.238431
-14247.185535,24,552.624416
-717.152288,24,553.022674
-15653.127106,24,553.433372
-10204.652792,24,553.856262
-50084.601807,24,554.332296
-7358.393842,24,554.804868
-24849.085342,24,555.221226
-25062.939564,24,555.599529
-27203.848022,24,555.976276
-14974.193294,24,556.364106
-5933.155464,24,556.751765
-19433.730507,24,557.203536
-20151.853561,24,557.612685
-8685.372976,24,558.024431
-22467.273163,24,558.450614
-21951.38147,24,558.848588
-10084.728996,24,559.209501
-39925.001221,24,559.605974
-19269.429148,24,559.999251
-41162.955253,24,560.410155
-18361.454803,24,560.841078
-25309.019531,24,561.233354
-18699.553314,24,561.629267
-3859.174093,24,562.028641
-10712.51251,24,562.442455
-9368.833259,24,563.594248
-4053.70951,24,563.989895
-10736.529062,24,564.420426
-12935.659767,24,564.804203
-16442.371582,24,565.218664
-590.300699,24,565.627482
-6415.738864,24,566.032958
-18547.325867,24,566.462732
-8606.873997,24,566.889071
-16465.733967,24,567.26896
-4209.405124,24,567.687764
-10757.452931,24,568.064868
-22877.904266,24,568.473341
-979.617663,24,568.827891
-15659.592159,24,569.246733
-57200.931484,24,569.656861
-23515.250519,24,570.054397
-20061.29439,24,570.448059
-744.516132,24,570.868208
-24125.330338,24,571.259989
-1456.846024,24,571.656847
-10072.414076,24,572.033079
-700.846919,24,572.438764
-43803.440918,24,572.856545
-9300.266859,24,573.248827
-21251.736206,24,573.659463
-9168.103157,24,574.0833
-33791.19751,24,574.502313
-19901.97406,24,574.91935
-5121.222978,24,575.323537
-14060.860503,24,575.723958
-54161.277832,24,576.124699
-15085.59971,24,576.516859
-727.231441,24,576.932419
-8501.61131,24,577.342286
-789.658195,24,577.734999
-716.951384,24,578.136397
-4531.628359,24,578.541045
-151274.620169,24,578.934936
-2225.241815,24,579.33489
-6807.626523,24,579.736357
-17828.289593,24,580.118111
-7119.510246,24,580.560352
-736.54034,24,580.950692
-710.802044,24,581.3636
-5585.421674,24,581.751156
-832.312289,24,582.173093
-555.494841,24,582.575196
-3145.972443,24,582.976002
-731.824944,24,583.373372
-13830.095917,24,583.809141
-7877.575905,24,584.203588
-5183.787486,24,584.661776
-764.853062,24,585.065207
-752.812647,24,585.461035
-3216.492578,24,585.876776
-12915.483673,24,586.294442
-764.847527,24,586.681736
-732.899775,24,587.079479
-32213.789703,24,587.512627
-7919.4328,24,587.905006
-6662.176402,24,588.269228
-10750.49881,24,588.653916
-27176.252655,24,589.066738
-660.212659,24,589.487638
-11698.71015,24,589.907965
-24135.720886,24,590.31462
-12317.636955,24,590.759912
-19445.314774,24,591.19093
-11519.241646,24,591.613054
-4017.585752,24,592.020572
-3932.945546,24,592.439704
-2216.986931,24,592.85259
-14988.227615,24,593.225896
-744.848774,24,593.647746
-728.711796,24,594.029117
-427.184528,24,594.466734
-1125.17129,24,594.834178
-1065.408807,24,595.244501
-2871.724916,24,595.641561
-3253.328764,24,596.053543
-5134.626366,24,596.461043
-2881.437103,24,596.89407
-740.778427,24,597.286669
-719.446516,24,597.693558
-575.969954,24,598.085784
-6816.406895,24,598.510333
-344.921867,24,598.921035
-3083.214031,24,599.315101
-10313.514359,24,599.730587
-745.245855,24,600.146035
-15071.211891,24,600.563505
-781.518808,24,600.976482
-4809.882141,24,601.381321
-752.851616,24,601.764125
-6325.588154,24,602.165712
-5696.044205,24,602.590867
-8964.315285,24,603.004233
-744.849277,24,603.403941
-181.495107,24,603.797786
-5007.566565,24,604.257116
-2131.8763,24,604.682555
-7769.744293,24,605.101165
-746.04112,24,605.530559
-258.304425,24,605.944933
-52270.853638,24,606.310463
-23412.208609,24,606.734297
-464.995559,24,607.149595
-335.222147,24,607.541948
-900.459532,24,607.947298
-27333.688232,24,608.357184
-25930.192139,24,608.777724
-25892.624512,24,609.169897
-55032.914062,24,609.560894
-89852.361569,24,610.004744
-37192.185216,24,610.414751
-21499.601807,24,610.813016
-34371.619926,24,611.212464
-6846.991394,24,611.613889
-30364.457144,24,612.036013
-30804.854719,24,612.439719
-1124.235542,24,612.851219
-23730.06424,24,613.255946
-58924.604797,24,613.655623
-57571.650543,24,614.070338
-28487.726221,24,614.474353
-87579.089372,24,614.89522
-24935.783936,24,615.320141
-39756.596008,24,615.694396
-51973.391357,24,616.091252
-59415.866697,24,616.495938
-82902.368927,24,616.90139
-36368.270142,24,617.302711
-724.245684,24,617.68377
-41418.43335,24,618.114046
-28987.187544,24,618.512412
-24614.102944,24,618.938781
-38196.62113,24,619.331568
-731.538214,24,619.75492
-18485.564148,24,620.161594
-26650.524413,24,620.55498
-17655.641768,24,620.958464
-16297.055783,24,621.433005
-22854.844893,24,621.836639
